"run","density","fraction_blue","circle_blue","circle_orange","eth_con","val_lib","eth_lib","val_con","determinism","utility_function","step","et_sq_bl","et_sq_or","et_cl_bl","et_cl_or","vl_sq_bl","vl_sq_or","vl_cl_bl","vl_cl_or","mv_gl","mv_sq_bl","mv_cl_bl","mv_sq_or","mv_cl_or","mv_cl","mv_sq","mv_bl","mv_or"
51,70,50,50,50,1,1,0.5,0.7,8,"single-peaked",2000,0.96546218487395,0.97206572769953,0.622392420270861,0.617107170737148,0.936417366946779,0.904151097058542,0.943709043250328,0.894203747072599,0.129971988795518,0.152941176470588,0.0756880733944954,0.187122736418511,0.0960187353629977,0.085747392815759,0.171366594360087,0.113821138211382,0.145021645021645
46,70,50,50,50,1,1,0.5,0.7,3,"single-peaked",2000,0.73319036621577,0.735193774479489,0.583825396825398,0.59072854948431,0.7250604860882,0.71751443001443,0.723431216931217,0.723137480798772,0.320404721753794,0.334872979214781,0.302222222222222,0.344155844155844,0.299539170506912,0.300904977375566,0.339664804469274,0.318233295583239,0.322544642857143
9,70,50,50,50,1,1,0.5,0.5,8,"single-peaked",2000,0.909405810782463,0.921183551720464,0.614821697909933,0.606973167886308,0.779460352422908,0.844601576648557,0.808702327084681,0.850002651394633,0.13983286908078,0.195604395604396,0.0767494356659142,0.207589285714286,0.0779510022271715,0.0773542600896861,0.201550387596899,0.136971046770601,0.142697881828317
15,70,50,50,50,1,1,0.5,0.5,14,"single-peaked",2000,0.932786633966891,0.931550349497597,0.657566585956416,0.636300118241428,0.785561005518088,0.868111074705112,0.824709947538337,0.884448564979039,0.10126582278481,0.180257510729614,0.0402542372881356,0.158256880733945,0.0270880361173815,0.033879781420765,0.169623059866962,0.109808102345416,0.0921501706484642
59,70,50,50,50,1,1,0.5,0.7,16,"single-peaked",2000,0.990426037377257,0.985859846121855,0.704533773861968,0.717236136878994,0.92579453067258,0.972702224994801,0.932740717432347,0.977666975881262,0.0832876712328767,0.148558758314856,0.0418502202643172,0.11353711790393,0.0303030303030303,0.0360262008733624,0.130913091309131,0.0950276243093923,0.0717391304347826
52,70,50,50,50,1,1,0.5,0.7,9,"single-peaked",2000,0.973004434589801,0.970388269986894,0.642813950977217,0.65536386112007,0.942614296272833,0.93280635648755,0.94415289925494,0.940094593141997,0.109983079526227,0.161504424778761,0.0680272108843537,0.135011441647597,0.0744920993227991,0.0712669683257919,0.148481439820022,0.115341545352744,0.104545454545455
63,70,50,50,50,1,1,0.5,0.7,20,"single-peaked",2000,0.981550264550265,0.98424257317606,0.683286594083361,0.709897886967951,0.962801587301587,0.935266491917868,0.967560211151435,0.944765443332322,0.0904522613065327,0.148888888888889,0.0346420323325635,0.118993135011442,0.059447983014862,0.0475663716814159,0.134160090191657,0.0928652321630804,0.0881057268722467
21,70,50,50,50,1,1,0.5,0.5,20,"single-peaked",2000,0.929660645867543,0.937133265628526,0.654304029304029,0.655316268138157,0.811789819376027,0.789020537124803,0.852044279250161,0.831115879828326,0.0898812888637648,0.155251141552511,0.0316742081447964,0.127659574468085,0.0493562231759657,0.0407488986784141,0.141695702671312,0.0931818181818182,0.0866141732283465
32,70,50,50,50,1,1,0.5,0.6,10,"single-peaked",2000,0.968907095132039,0.962256006006006,0.706540481900194,0.731709239987386,0.944721073284548,0.895042363792364,0.939910928400137,0.914908546199937,0.111741349971639,0.171492204899777,0.0455635491606715,0.184684684684685,0.0419426048565121,0.0436781609195402,0.178051511758119,0.110854503464203,0.112597547380156
7,70,50,50,50,1,1,0.5,0.5,6,"single-peaked",2000,0.882582582582583,0.877081362346263,0.604423280423281,0.606571642109759,0.769589232089232,0.784676232523915,0.788701058201058,0.805605381165919,0.164437012263099,0.202247191011236,0.124444444444444,0.229580573951435,0.100896860986547,0.112723214285714,0.216035634743875,0.163128491620112,0.165739710789766
26,70,50,50,50,1,1,0.5,0.6,4,"single-peaked",2000,0.839308462238399,0.820314710042433,0.589044506691567,0.583732769423559,0.797353654837732,0.769955209806695,0.813691773005498,0.799540517961571,0.23463687150838,0.280254777070064,0.193899782135076,0.287128712871287,0.182017543859649,0.187978142076503,0.283428571428571,0.237634408602151,0.231395348837209
61,70,50,50,50,1,1,0.5,0.7,18,"single-peaked",2000,0.975560381810382,0.985326438267615,0.711325413122127,0.685214879602635,0.891760510510511,0.954977375565611,0.922912388774812,0.950342835546917,0.0964718853362734,0.130630630630631,0.0513347022587269,0.190045248868778,0.018140589569161,0.0355603448275862,0.160270880361174,0.0891514500537057,0.104190260475651
5,70,50,50,50,1,1,0.5,0.5,4,"single-peaked",2000,0.753466952600902,0.74742278690218,0.582566758046503,0.571668802049968,0.703653909600792,0.702698584856937,0.734528886181338,0.735738308776426,0.24930901050304,0.311778290993072,0.211087420042644,0.266811279826464,0.210762331838565,0.210928961748634,0.288590604026846,0.259423503325942,0.239250275633958
29,70,50,50,50,1,1,0.5,0.6,7,"single-peaked",2000,0.942340570589469,0.936131901507755,0.654037267080746,0.603333333333333,0.87084119991609,0.899303069747262,0.895788631658196,0.91343853820598,0.138326954620011,0.209251101321586,0.0770750988142292,0.216400911161731,0.0558139534883721,0.0673076923076923,0.212765957446809,0.139583333333333,0.136939010356732
10,70,50,50,50,1,1,0.5,0.5,9,"single-peaked",2000,0.939205457463885,0.939759259259259,0.672176370548219,0.650351731601732,0.816591760299626,0.88289417989418,0.84719137655062,0.894553571428572,0.122032026504694,0.226966292134831,0.0441176470588235,0.175555555555556,0.0454545454545455,0.0447598253275109,0.201117318435754,0.132464712269273,0.11123595505618
13,70,50,50,50,1,1,0.5,0.5,12,"single-peaked",2000,0.916385943023498,0.924623929069535,0.641846876365225,0.662330478229836,0.822478685797463,0.773961446503288,0.839829073831367,0.798562251453043,0.11963023382273,0.185589519650655,0.0504587155963303,0.156903765690377,0.0813704496788009,0.0664451827242525,0.170940170940171,0.119686800894855,0.11957671957672
35,70,50,50,50,1,1,0.5,0.6,13,"single-peaked",2000,0.971604727809978,0.973114266198282,0.73996138996139,0.712070874861573,0.854301625184681,0.934772638563622,0.887538362538362,0.935559246954596,0.0968096809680968,0.171837708830549,0.0498960498960499,0.129098360655738,0.0395348837209302,0.0450054884742042,0.148842337375965,0.106666666666667,0.0871459694989107
12,70,50,50,50,1,1,0.5,0.5,11,"single-peaked",2000,0.932855085878844,0.931455323702514,0.63670814479638,0.652563323201621,0.840190784737222,0.80217495987159,0.857027041585866,0.833386524822695,0.114709110867179,0.217204301075269,0.0316742081447964,0.164044943820225,0.0446808510638298,0.0383771929824561,0.191208791208791,0.126791620727674,0.102732240437158
36,70,50,50,50,1,1,0.5,0.6,14,"single-peaked",2000,0.952331916748393,0.977445232952792,0.659156042279613,0.669606819763396,0.935267516617631,0.836573074154068,0.96313882532418,0.852713987473904,0.106160616061606,0.160183066361556,0.011441647597254,0.187096774193548,0.0647181628392484,0.0393013100436681,0.174057649667406,0.085812356979405,0.125
3,70,50,50,50,1,1,0.5,0.5,2,"single-peaked",2000,0.619298109699411,0.597257454383623,0.585678749111585,0.538100801068091,0.570925007747134,0.585569648420115,0.595763529292314,0.593182576769026,0.425531914893617,0.470715835140998,0.400852878464819,0.411214953271028,0.418224299065421,0.409141583054627,0.44206974128234,0.435483870967742,0.414719626168224
50,70,50,50,50,1,1,0.5,0.7,7,"single-peaked",2000,0.959908424908426,0.978640211640212,0.624545599489796,0.631844003161431,0.940787545787546,0.90970634920635,0.96008981717687,0.907360205492986,0.123160762942779,0.156043956043956,0.0580357142857143,0.182222222222222,0.0975103734439834,0.078494623655914,0.169060773480663,0.107419712070875,0.138412017167382
57,70,50,50,50,1,1,0.5,0.7,14,"single-peaked",2000,0.97797982736883,0.982237871674491,0.666420454545455,0.658943486278338,0.916967316458152,0.969123071763917,0.925992965367965,0.967566981234407,0.0879732739420935,0.138492871690428,0.0568181818181818,0.115023474178404,0.0364464692482916,0.0466439135381115,0.127589967284624,0.0998925886143931,0.0751445086705202
28,70,50,50,50,1,1,0.5,0.6,6,"single-peaked",2000,0.927159277504106,0.933510976773783,0.595510803440319,0.603397765025672,0.895862068965518,0.886151765828826,0.912974617159639,0.902771066143159,0.126931567328918,0.193103448275862,0.039647577092511,0.204444444444444,0.0761099365750529,0.058252427184466,0.198870056497175,0.114735658042745,0.138678223185265
33,70,50,50,50,1,1,0.5,0.6,11,"single-peaked",2000,0.960714285714286,0.970016314877129,0.647498691784406,0.646310295176385,0.874132963687758,0.953533190578158,0.899055468341182,0.948464979944462,0.102578167855184,0.132420091324201,0.0549450549450549,0.188436830835118,0.0345572354211663,0.0446623093681917,0.161325966850829,0.0929451287793953,0.111827956989247
19,70,50,50,50,1,1,0.5,0.5,18,"single-peaked",2000,0.939243291971577,0.94547020065888,0.667519926425506,0.624717813051147,0.837005514900838,0.857816711590297,0.859150827713059,0.853018812463257,0.0917176209005003,0.144766146993318,0.0300429184549356,0.15866388308977,0.0246913580246914,0.0275545350172216,0.151939655172414,0.0863387978142077,0.0972850678733032
44,70,50,50,50,1,1,0.5,0.7,1,"single-peaked",2000,0.550857244607245,0.545854497354498,0.521152402402402,0.524803335431088,0.567254273504274,0.560949735449735,0.551018876018876,0.559875183553598,0.480462300495322,0.461538461538462,0.471910112359551,0.477777777777778,0.511013215859031,0.491657397107898,0.469498910675381,0.466593647316539,0.494469026548673
47,70,50,50,50,1,1,0.5,0.7,4,"single-peaked",2000,0.855481908920774,0.856944890315677,0.552464396973743,0.611988936988938,0.837032127261386,0.806634563937935,0.845032265242546,0.829550264550264,0.215224534501643,0.237991266375546,0.19392523364486,0.238202247191011,0.191919191919192,0.19284940411701,0.238095238095238,0.216704288939052,0.213829787234043
58,70,50,50,50,1,1,0.5,0.7,15,"single-peaked",2000,0.986213255233756,0.983516290726817,0.653718897468898,0.653255751738898,0.984976678598547,0.883929824561404,0.983153689403689,0.898317281968967,0.0859678313921242,0.134396355353075,0.0135135135135135,0.155789473684211,0.0359550561797753,0.0247469066366704,0.145514223194748,0.0736126840317101,0.0978260869565217
37,70,50,50,50,1,1,0.5,0.6,15,"single-peaked",2000,0.967567155067155,0.969566345056541,0.689602302459445,0.702782898105479,0.880441086691087,0.932007988380538,0.894761904761905,0.936600102406554,0.101786681104494,0.153846153846154,0.0483516483516484,0.178649237472767,0.0258064516129032,0.0369565217391304,0.166127292340885,0.101841820151679,0.101731601731602
