"run","density","fraction_blue","circle_blue","circle_orange","dominant_con","M_con","eth_con","val_con","dominant_lib","M_lib","val_lib","eth_lib","determinism","step","et_sq_bl","et_sq_or","et_cl_bl","et_cl_or","vl_sq_bl","vl_sq_or","vl_cl_bl","vl_cl_or","mv_gl","mv_sq_bl","mv_cl_bl","mv_sq_or","mv_cl_or","mv_cl","mv_sq","mv_bl","mv_or"
1640,70,50,50,50,0.5,0.4,1,0.5,1,0.3,1,0.5,7,2000,0.731358821061465,0.766895696154214,0.497104978354978,0.507489319579035,0.833414621355151,0.872382860960016,0.860392316017316,0.86024538918412,0.183684494867639,0.284140969162996,0.0590909090909091,0.294,0.0831509846827133,0.0713489409141583,0.289308176100629,0.17337807606264,0.193312434691745
1651,70,50,50,50,0.5,0.4,1,0.5,1,0.4,1,0.5,2,2000,0.526710484637314,0.530151098901099,0.515355261743524,0.531909588159588,0.577278006546299,0.551971408221408,0.567752337955498,0.547141784641785,0.470099667774086,0.470066518847007,0.45372460496614,0.487179487179487,0.468468468468468,0.461104847801578,0.478781284004353,0.461968680089485,0.478070175438596
1650,70,50,50,50,0.5,0.4,1,0.5,1,0.4,1,0.5,1,2000,0.519641495041953,0.515324044415972,0.499448191293685,0.494965608465608,0.509267734553775,0.528881059150117,0.538320049049663,0.550193121693122,0.49360755975542,0.48512585812357,0.484978540772532,0.482062780269058,0.522222222222222,0.503275109170306,0.483578708946772,0.485049833887043,0.502232142857143
1649,70,50,50,50,0.5,0.4,1,0.5,1,0.4,1,0.5,0,2000,0.513441798941799,0.4907917383821,0.527261406654712,0.496648351648352,0.482190476190476,0.493746414228342,0.525191771269177,0.523113553113553,0.481646273637375,0.468888888888889,0.4581589958159,0.510843373493976,0.492307692307692,0.47481243301179,0.489017341040462,0.463362068965517,0.501149425287356
1647,70,50,50,50,0.5,0.4,1,0.5,1,0.3,1,0.5,14,2000,0.946469889474228,0.940843915343915,0.517949110974862,0.501765828825963,0.921591261233344,0.912227513227514,0.931210402615982,0.931116767419663,0.103391684901532,0.166306695464363,0.0236051502145923,0.215555555555556,0.0089086859688196,0.0163934426229508,0.190580503833516,0.0947255113024758,0.112347052280311
1655,70,50,50,50,0.5,0.4,1,0.5,1,0.4,1,0.5,6,2000,0.716124574829933,0.695893117072157,0.513477985429205,0.533842783233028,0.796412627551021,0.787559783738823,0.798461091753774,0.825382747333966,0.248893805309735,0.357142857142857,0.106430155210643,0.375545851528384,0.155210643015521,0.130820399113082,0.36644591611479,0.231368186874305,0.266226622662266
1652,70,50,50,50,0.5,0.4,1,0.5,1,0.4,1,0.5,3,2000,0.541765661488476,0.547000718390805,0.462039912583391,0.52137571730595,0.610617829221241,0.616800082101807,0.589929836668968,0.630169636564985,0.414835164835165,0.449893390191898,0.384057971014493,0.439655172413793,0.382663847780127,0.383314543404735,0.444801714898178,0.419026047565119,0.410885805763074
1658,70,50,50,50,0.5,0.4,1,0.5,1,0.4,1,0.5,9,2000,0.884994987468672,0.884584156243143,0.516544850498339,0.515560064935065,0.925538847117794,0.913973008558262,0.94265503875969,0.921041666666667,0.147586980920314,0.26890756302521,0.0209302325581395,0.252293577981651,0.0363636363636364,0.028735632183908,0.260964912280702,0.15121412803532,0.143835616438356
1657,70,50,50,50,0.5,0.4,1,0.5,1,0.4,1,0.5,8,2000,0.852870670995671,0.84537920771757,0.497452750501531,0.515937272064187,0.904737554112554,0.89227986453202,0.904796220040123,0.91753152026675,0.163175303197354,0.272108843537415,0.0354767184035477,0.329032258064516,0.0153172866520788,0.0253303964757709,0.301324503311258,0.152466367713004,0.17353579175705
1654,70,50,50,50,0.5,0.4,1,0.5,1,0.4,1,0.5,5,2000,0.644974366558218,0.637662337662338,0.517000216943269,0.52977669328601,0.717913832199547,0.698570873570874,0.757883176049463,0.722582076308784,0.299564270152505,0.428865979381443,0.177676537585421,0.386946386946387,0.202898550724638,0.190889370932755,0.409190371991247,0.30952380952381,0.289473684210526
