"run","density","fraction_blue","circle_blue","circle_orange","dominant_con","eth_con","val_con","dominant_lib","val_lib","eth_lib","determinism","utility_function","step","et_sq_bl","et_sq_or","et_cl_bl","et_cl_or","vl_sq_bl","vl_sq_or","vl_cl_bl","vl_cl_or","mv_gl","mv_sq_bl","mv_cl_bl","mv_sq_or","mv_cl_or","mv_cl","mv_sq","mv_bl","mv_or"
49,70,50,50,50,0.5,1,0.5,0.7,1,0.9,1,"single-peaked",2000,0.49715821812596,0.541671831422374,0.507549977538186,0.538447782546495,0.515802611367127,0.533570912095858,0.521653189577718,0.528571428571428,0.503641456582633,0.523041474654378,0.509433962264151,0.501084598698482,0.482832618025751,0.495505617977528,0.511731843575419,0.516317016317016,0.491909385113269
28,70,50,50,50,0.5,1,0.5,0.6,1,0.8,1,"single-peaked",2000,0.514991664061686,0.54239866624987,0.512999549701677,0.534137159137159,0.517534125247473,0.534958841304574,0.513905775075988,0.52206450956451,0.490304709141274,0.5054704595186,0.50354609929078,0.492341356673961,0.461538461538462,0.481481481481481,0.49890590809628,0.504545454545455,0.476756756756757
24,70,50,50,50,0.5,1,0.5,0.6,1,0.6,20,"single-peaked",2000,0.948825291706086,0.955159608091024,0.701146670789528,0.696237889095032,0.819310417323663,0.816163611462285,0.852257266542981,0.83814677386106,0.101528384279476,0.142857142857143,0.0324675324675325,0.19205298013245,0.0411255411255411,0.0367965367965368,0.167400881057269,0.0872410032715376,0.115846994535519
57,70,50,50,50,0.5,1,0.5,0.8,1,0.5,20,"single-peaked",2000,0.960779816513762,0.964476904252065,0.553440666884603,0.595070491964902,0.947163062472696,0.92418170694402,0.95677508989866,0.939056492162082,0.11013698630137,0.191780821917808,0,0.23982869379015,0.010351966873706,0.00543478260869565,0.216574585635359,0.096,0.123157894736842
30,70,50,50,50,0.5,1,0.5,0.6,1,0.8,20,"single-peaked",2000,0.980488426634037,0.968112834048169,0.819957047406936,0.823590585659551,0.838559192413583,0.912952270977675,0.852839643652561,0.935810071154899,0.0996640537513998,0.164882226980728,0.0133630289532294,0.206896551724138,0.0114942528735632,0.0124434389140271,0.185144124168514,0.0906113537117904,0.109195402298851
63,70,50,50,50,0.5,1,0.5,0.8,1,0.7,20,"single-peaked",2000,0.979302760365116,0.963706905267415,0.644923680533162,0.692375574459763,0.95706312548114,0.87661763219088,0.953042029452865,0.916053094749193,0.0910577971646674,0.184757505773672,0.00225733634311512,0.178343949044586,0.00410677618069815,0.0032258064516129,0.18141592920354,0.0924657534246575,0.0897703549060543
61,70,50,50,50,0.5,1,0.5,0.8,1,0.7,1,"single-peaked",2000,0.52272007426824,0.531187443130117,0.493697634955987,0.525112754352842,0.529999453910004,0.527449196239005,0.516337893732103,0.545442626389763,0.511049723756906,0.481651376146789,0.507795100222717,0.505307855626327,0.548458149779736,0.528239202657807,0.49393605292172,0.494915254237288,0.526486486486486
50,70,50,50,50,0.5,1,0.5,0.7,1,0.9,5,"single-peaked",2000,0.629573934837093,0.653215077605323,0.599140350877194,0.576524735164044,0.631571115288221,0.649123640587056,0.689551378446115,0.674776303609997,0.359349593495935,0.405701754385965,0.309473684210526,0.441241685144124,0.285097192224622,0.297441364605544,0.423373759647189,0.356605800214823,0.362144420131291
18,70,50,50,50,0.5,1,0.5,0.5,1,1,20,"single-peaked",2000,0.976272202244742,0.978751266464033,0.942368943191311,0.942668502090343,0.82246921651956,0.856352583586627,0.856633771929824,0.880256449474865,0.0933406113537118,0.141552511415525,0.0109649122807018,0.195329087048832,0.0256959314775161,0.0184182015167931,0.169416941694169,0.0749440715883669,0.110874200426439
46,70,50,50,50,0.5,1,0.5,0.7,1,0.8,1,"single-peaked",2000,0.503130107878391,0.540623067408781,0.499169312169312,0.533362547472977,0.511046638334968,0.527527829313544,0.543846560846561,0.555643197974487,0.485854189336235,0.471395881006865,0.464444444444444,0.541125541125541,0.466257668711656,0.465388711395101,0.507230255839822,0.467869222096956,0.502628811777077
23,70,50,50,50,0.5,1,0.5,0.6,1,0.6,5,"single-peaked",2000,0.656437897739742,0.690683890577508,0.604241071428572,0.586093453774953,0.607587228439764,0.662669706180345,0.639633822278912,0.641410170625627,0.36424957841484,0.3963133640553,0.348214285714286,0.395744680851064,0.313817330210773,0.331428571428571,0.396017699115044,0.3718820861678,0.356744704570792
60,70,50,50,50,0.5,1,0.5,0.8,1,0.6,20,"single-peaked",2000,0.973804614629357,0.980285324763852,0.657975921745673,0.638910213618158,0.92627147766323,0.946674457103905,0.938912178867032,0.942086671117045,0.101786681104494,0.154639175257732,0,0.226069246435845,0.00467289719626168,0.00229621125143513,0.190573770491803,0.0808189655172414,0.122959738846572
33,70,50,50,50,0.5,1,0.5,0.6,1,0.9,20,"single-peaked",2000,0.977359307359307,0.987481043372763,0.873698148698149,0.859492133882378,0.851176948051948,0.874431301182894,0.893206118206118,0.884668989547038,0.0931239848402815,0.163265306122449,0.00831600831600832,0.191983122362869,0.0110864745011086,0.00965665236051502,0.178142076502732,0.0824295010845987,0.103783783783784
3,70,50,50,50,0.5,1,0.5,0.5,1,0.5,20,"single-peaked",2000,0.947756688882449,0.944358297591554,0.628805795248749,0.641143159166416,0.872577996715928,0.767337512372155,0.881748695003729,0.816029900332225,0.11038961038961,0.161943319838057,0.0335570469798658,0.17741935483871,0.0676532769556025,0.0510869565217391,0.169181034482759,0.100956429330499,0.120176405733186
15,70,50,50,50,0.5,1,0.5,0.5,1,0.9,20,"single-peaked",2000,0.985785057122637,0.980749314651234,0.895613324694958,0.900453768951527,0.849747244970175,0.830817849527872,0.858163265306123,0.854588404868674,0.0846994535519126,0.152219873150106,0.0158730158730159,0.138297872340426,0.0246636771300448,0.020293122886133,0.145281018027572,0.0864332603938731,0.0829694323144105
20,70,50,50,50,0.5,1,0.5,0.6,1,0.5,5,"single-peaked",2000,0.653673054587689,0.635491399202854,0.547944947209653,0.564352400711322,0.638666279519939,0.620870044052864,0.631111290670115,0.64445514720411,0.347593582887701,0.422764227642276,0.289592760180996,0.343612334801762,0.327800829875519,0.30952380952381,0.384778012684989,0.359743040685225,0.335470085470085
55,70,50,50,50,0.5,1,0.5,0.8,1,0.5,1,"single-peaked",2000,0.527589221433714,0.518695258230142,0.500330396475771,0.507305194805195,0.540458191916076,0.523882512836002,0.518727711348857,0.516696428571429,0.501639344262295,0.511879049676026,0.484581497797357,0.517970401691332,0.490909090909091,0.487695749440716,0.514957264957265,0.498364231188659,0.504928806133625
58,70,50,50,50,0.5,1,0.5,0.8,1,0.6,1,"single-peaked",2000,0.52487091222031,0.51322463768116,0.50858902452436,0.513871635610766,0.553346720214191,0.538139233954452,0.519306059606291,0.522603519668737,0.50945434900054,0.518072289156627,0.48729792147806,0.528260869565217,0.502173913043478,0.494960806270997,0.522964509394572,0.503759398496241,0.515217391304348
47,70,50,50,50,0.5,1,0.5,0.7,1,0.8,5,"single-peaked",2000,0.650075923226434,0.664613488567234,0.582422228933857,0.600298256347508,0.635362001943635,0.640334591986575,0.683522098056982,0.697356480065259,0.339485458612975,0.368956743002545,0.295983086680761,0.38021978021978,0.319057815845824,0.307446808510638,0.375,0.329099307159353,0.349240780911063
53,70,50,50,50,0.5,1,0.5,0.7,1,1,5,"single-peaked",2000,0.686598997493735,0.664789590254707,0.615574974670719,0.590429197994988,0.638468671679198,0.642516611295681,0.664095744680851,0.676702172096909,0.331512834516658,0.362105263157895,0.327659574468085,0.346511627906977,0.289473684210526,0.308855291576674,0.354696132596685,0.344973544973545,0.317155756207675
31,70,50,50,50,0.5,1,0.5,0.6,1,0.9,1,"single-peaked",2000,0.520501138952164,0.553105380083067,0.522661469933185,0.529987273305759,0.521640091116173,0.526504394861393,0.527630183476509,0.494461236610457,0.502732240437158,0.482915717539863,0.536748329621381,0.505070993914807,0.485523385300668,0.511135857461025,0.494635193133047,0.510135135135135,0.495753715498938
40,70,50,50,50,0.5,1,0.5,0.7,1,0.6,1,"single-peaked",2000,0.520265898291376,0.533135385301662,0.502973460026212,0.523018235071807,0.497747952684258,0.507262741162039,0.510408475316732,0.531292517006803,0.5,0.488322717622081,0.518348623853211,0.456674473067916,0.531746031746032,0.525531914893617,0.473273942093541,0.502756339581036,0.497314715359828
38,70,50,50,50,0.5,1,0.5,0.7,1,0.5,5,"single-peaked",2000,0.623146974976244,0.639536210317461,0.53456043956044,0.535839324788997,0.652771618625277,0.647509920634921,0.674950287807432,0.653503699072628,0.36462289744981,0.412416851441242,0.303296703296703,0.422916666666667,0.317286652078775,0.31030701754386,0.417830290010741,0.357615894039735,0.371398078975454
8,70,50,50,50,0.5,1,0.5,0.5,1,0.7,5,"single-peaked",2000,0.672464678178965,0.672257454383623,0.629501158870628,0.625284061563888,0.604395604395605,0.614505451713396,0.631705646860515,0.633165478772854,0.372494432071269,0.404395604395604,0.356194690265487,0.35981308411215,0.368763557483731,0.362541073384447,0.382785956964892,0.380374862183021,0.364454443194601
16,70,50,50,50,0.5,1,0.5,0.5,1,1,1,"single-peaked",2000,0.52716681961864,0.535815972222222,0.538743414936474,0.53500636334712,0.527329968389925,0.527301587301587,0.516294804255759,0.502545338848234,0.505654281098546,0.4796573875803,0.563991323210412,0.491666666666667,0.487750556792873,0.526373626373626,0.485744456177402,0.521551724137931,0.489773950484392
2,70,50,50,50,0.5,1,0.5,0.5,1,0.5,5,"single-peaked",2000,0.663261230418093,0.622048997772828,0.569929361786209,0.548292048410813,0.628698516443615,0.612920246049422,0.625489033787789,0.635841533763149,0.390944229707344,0.392156862745098,0.4149377593361,0.396436525612472,0.356294536817102,0.387596899224806,0.394273127753304,0.403825717321998,0.377011494252874
41,70,50,50,50,0.5,1,0.5,0.7,1,0.6,5,"single-peaked",2000,0.639189837008629,0.625159795461809,0.539005302335067,0.556672203765227,0.644854586129754,0.651107915201875,0.666646273070256,0.702821403402799,0.371117166212534,0.401785714285714,0.34475374732334,0.420581655480984,0.321353065539112,0.332978723404255,0.411173184357542,0.372677595628415,0.369565217391304
19,70,50,50,50,0.5,1,0.5,0.6,1,0.5,1,"single-peaked",2000,0.542466202582729,0.506936048361438,0.519546194546195,0.504190254190255,0.529358353510896,0.514869021105101,0.501093813593814,0.524247974247975,0.511001100110011,0.510593220338983,0.506410256410256,0.521158129175947,0.505827505827506,0.50613154960981,0.515743756786102,0.508510638297872,0.513667425968109
64,70,50,50,50,0.5,1,0.5,0.8,1,0.8,1,"single-peaked",2000,0.52507806401249,0.498436147186147,0.522264269946389,0.494420313170313,0.520979703356753,0.529320887445888,0.510948176179964,0.515476190476191,0.485479452054795,0.489754098360656,0.456953642384106,0.477272727272727,0.518018018018018,0.487179487179487,0.483836206896552,0.473963868225292,0.497737556561086
56,70,50,50,50,0.5,1,0.5,0.8,1,0.5,5,"single-peaked",2000,0.663306078370873,0.62815880450541,0.533106575963719,0.530326486817903,0.684778360588296,0.656509981041597,0.704839208410637,0.707089209074187,0.351841671247938,0.405172413793103,0.277056277056277,0.440281030444965,0.291845493562232,0.28448275862069,0.421997755331089,0.341252699784017,0.362821948488242
10,70,50,50,50,0.5,1,0.5,0.5,1,0.8,1,"single-peaked",2000,0.509083496412263,0.527105176933159,0.5370607194843,0.539620145752221,0.503511632963688,0.504447903014417,0.539215533374923,0.53250973345313,0.509673852957435,0.506849315068493,0.480349344978166,0.552752293577982,0.50104821802935,0.490909090909091,0.52974828375286,0.493303571428571,0.525739320920044
35,70,50,50,50,0.5,1,0.5,0.6,1,1,5,"single-peaked",2000,0.662682267767921,0.679014690982776,0.663842746400886,0.66358604845447,0.639456510655655,0.637960992907802,0.653720930232559,0.625879803675857,0.356359649122807,0.365384615384615,0.32093023255814,0.397872340425532,0.337719298245614,0.329571106094808,0.381663113006397,0.344097995545657,0.368250539956803
37,70,50,50,50,0.5,1,0.5,0.7,1,0.5,1,"single-peaked",2000,0.520862369337979,0.507109213250518,0.50620415982485,0.51549938157081,0.535271486643438,0.51582298136646,0.50296113847838,0.504514533085962,0.494321254732288,0.461382113821138,0.505747126436782,0.519565217391304,0.493506493506494,0.499442586399108,0.489495798319328,0.482200647249191,0.506507592190889
12,70,50,50,50,0.5,1,0.5,0.5,1,0.8,20,"single-peaked",2000,0.976261143726897,0.973708421797594,0.835188555252249,0.825369830471872,0.819324853228963,0.851559498534021,0.85810585380649,0.863235611705,0.0948985189248491,0.136363636363636,0.0233545647558386,0.195329087048832,0.0226757369614512,0.0230263157894737,0.166849615806806,0.0779363336992316,0.111842105263158
17,70,50,50,50,0.5,1,0.5,0.5,1,1,5,"single-peaked",2000,0.684362046304722,0.671630162362428,0.686889818688982,0.674941618438421,0.608672025073298,0.589174022011551,0.628917613070333,0.625525434054219,0.376819407008086,0.397027600849257,0.370292887029289,0.37070938215103,0.368869936034115,0.369588173178458,0.384361233480176,0.383561643835616,0.369757174392936
22,70,50,50,50,0.5,1,0.5,0.6,1,0.6,1,"single-peaked",2000,0.498356842737095,0.525338624338625,0.531611057121262,0.522152242639794,0.496481092436975,0.526791005291005,0.521447467876039,0.517933708753211,0.494321254732288,0.474789915966387,0.510204081632653,0.477777777777778,0.514522821576763,0.512459371614301,0.476241900647948,0.491821155943293,0.496781115879828
43,70,50,50,50,0.5,1,0.5,0.7,1,0.7,1,"single-peaked",2000,0.508642448395668,0.532630845130845,0.519767507002801,0.537834211553474,0.534352646638054,0.529249785499786,0.548605042016807,0.533489461358314,0.483817882611081,0.504291845493562,0.456470588235294,0.481981981981982,0.489754098360656,0.474260679079956,0.493406593406593,0.481481481481481,0.486051502145923
52,70,50,50,50,0.5,1,0.5,0.7,1,1,1,"single-peaked",2000,0.51932863274065,0.520285316631872,0.543210250201776,0.518079186730872,0.497355916615573,0.515332040958346,0.504817393058919,0.488092562867843,0.496240601503759,0.502145922746781,0.497881355932203,0.463465553235908,0.523595505617978,0.510359869138495,0.482539682539683,0.5,0.492424242424242
1,70,50,50,50,0.5,1,0.5,0.5,1,0.5,1,"single-peaked",2000,0.482002506265664,0.539197437449557,0.500418118466899,0.52861693973364,0.510551378446115,0.51473718724778,0.507244483159117,0.48711555044553,0.489212513484358,0.509473684210526,0.5,0.476694915254237,0.472837022132797,0.485115766262404,0.493136219640971,0.505084745762712,0.474716202270382
5,70,50,50,50,0.5,1,0.5,0.5,1,0.6,5,"single-peaked",2000,0.666663865546219,0.669034479133817,0.593057644110276,0.599198717948718,0.625207282913165,0.613694418164617,0.66483709273183,0.653655372405373,0.364634816035146,0.312941176470588,0.351578947368421,0.421633554083885,0.36965811965812,0.360551431601273,0.369020501138952,0.333333333333333,0.395222584147666
7,70,50,50,50,0.5,1,0.5,0.5,1,0.7,1,"single-peaked",2000,0.516679606625259,0.497737590799031,0.543167701863354,0.530705508009655,0.530890269151139,0.520618946731235,0.516839199447895,0.516074171604125,0.497566252028123,0.508695652173913,0.511387163561077,0.49364406779661,0.474654377880184,0.494002181025082,0.501072961373391,0.510074231177094,0.484547461368653
74,70,50,50,50,0.5,1,0.5,0.9,1,0.5,5,"single-peaked",2000,0.665127388535032,0.628679653679654,0.528146258503402,0.500416809409615,0.689975735517137,0.706641326153521,0.689314058956916,0.719221765444787,0.3496115427303,0.421610169491525,0.274891774891775,0.399113082039911,0.297362110311751,0.285551763367463,0.410617551462622,0.349036402569593,0.350230414746544
78,70,50,50,50,0.5,1,0.5,0.9,1,0.6,20,"single-peaked",2000,0.975693293558723,0.973496240601504,0.554910714285714,0.570230228655339,0.944503369793393,0.943380189604446,0.954583333333333,0.956754772393539,0.0985835694050991,0.224018475750577,0.00909090909090909,0.159817351598174,0.0066079295154185,0.00782997762863535,0.191733639494834,0.115693012600229,0.0818385650224215
