"BehaviorSpace results (NetLogo 6.1.1)"
"value_weight.nlogo"
"basic_compl"
"04/26/2021 14:55:56:199 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","density","fraction_blue","circle_blue","circle_orange","dominant_con","eth_con","val_con","dominant_lib","val_lib","eth_lib","determinism","utility_function","[step]","mean [count (turtles-on neighbors) with [color = [color] of myself] / count (turtles-on neighbors) ] of turtles with [ count (turtles-on neighbors) >= 1 and shape = ""square"" and color = blue]","mean [count (turtles-on neighbors) with [color = [color] of myself] / count (turtles-on neighbors) ] of turtles with [ count (turtles-on neighbors) >= 1 and shape = ""square"" and color = orange]","mean [count (turtles-on neighbors) with [color = [color] of myself] / count (turtles-on neighbors) ] of turtles with [ count (turtles-on neighbors) >= 1 and shape = ""circle"" and color = blue]","mean [count (turtles-on neighbors) with [color = [color] of myself] / count (turtles-on neighbors) ] of turtles with [ count (turtles-on neighbors) >= 1 and shape = ""circle"" and color = orange]","mean [count (turtles-on neighbors) with [ shape = [ shape] of myself] / count (turtles-on neighbors) ] of turtles with [ count (turtles-on neighbors) >= 1 and shape = ""square"" and color = blue]","mean [count (turtles-on neighbors) with [shape = [shape] of myself] / count (turtles-on neighbors) ] of turtles with [ count (turtles-on neighbors) >= 1 and shape = ""square"" and color = orange]","mean [count (turtles-on neighbors) with [shape = [shape] of myself] / count (turtles-on neighbors) ] of turtles with [ count (turtles-on neighbors) >= 1 and shape = ""circle"" and color = blue]","mean [count (turtles-on neighbors) with [shape = [shape] of myself] / count (turtles-on neighbors) ] of turtles with [ count (turtles-on neighbors) >= 1 and  shape = ""circle""  and color = orange]","count turtles with [movers? = TRUE] / count turtles","count turtles with [movers? = TRUE and color = blue and shape = ""square""] / count turtles with [color = blue and shape = ""square""]","count turtles with [movers? = TRUE and color = blue and shape = ""circle""] / count turtles with [color = blue and shape = ""circle""]","count turtles with [movers? = TRUE and color = orange and shape =  ""square""] / count turtles with [color = orange and shape =  ""square""]","count turtles with [movers? = TRUE and color = orange and shape = ""circle""] / count turtles with [color = orange and shape =  ""circle""]","count turtles with [movers? = TRUE and shape =  ""circle""] / count turtles with [shape =  ""circle""]","count turtles with [movers? = TRUE and shape =  ""square""] / count turtles with [shape =  ""square""]","count turtles with [movers? = TRUE and color = blue] / count turtles with [color = blue]","count turtles with [movers? = TRUE and color = orange] / count turtles with [color = orange]"
"39","70","50","50","50","0.5","1","0.5","0.7","1","0.5","20","single-peaked","2000","0.9696275946275946","0.9540434235368154","0.601651651651652","0.6220356354462314","0.9539046601546601","0.8573578770715338","0.9476056413556415","0.8915510354252071","0.10543657331136738","0.2148936170212766","0.013513513513513514","0.17180616740088106","0.01545253863134658","0.014492753623188406","0.1937229437229437","0.11706783369803063","0.09371554575523705"
"29","70","50","50","50","0.5","1","0.5","0.6","1","0.8","5","single-peaked","2000","0.6749808758844903","0.641669454667113","0.6327620173364857","0.6352290804963415","0.6309308663224331","0.5855776736924284","0.6041286727456945","0.6094097995545658","0.3639398998330551","0.3714859437751004","0.35224586288416077","0.3981264637002342","0.33407572383073497","0.34288990825688076","0.3837837837837838","0.36264929424538545","0.365296803652968"
"32","70","50","50","50","0.5","1","0.5","0.6","1","0.9","5","single-peaked","2000","0.6710963455149507","0.6882082413539367","0.6054442868959006","0.6398256982117745","0.6638276452229943","0.6201250919793971","0.6596715112844147","0.6251808318264016","0.3521907931225735","0.37420718816067655","0.3176178660049628","0.3708609271523179","0.34177215189873417","0.330672748004561","0.37257019438444927","0.3481735159817352","0.3559870550161812"
"6","70","50","50","50","0.5","1","0.5","0.5","1","0.6","20","single-peaked","2000","0.9301008786202408","0.933811748998665","0.7314523314523321","0.7123376623376622","0.754883935350906","0.7655485091232759","0.8118156618156614","0.8059101467638056","0.1238888888888889","0.18863636363636363","0.07276507276507277","0.19158878504672897","0.050997782705099776","0.06223175965665236","0.19009216589861752","0.1281216069489685","0.11945392491467577"
"44","70","50","50","50","0.5","1","0.5","0.7","1","0.7","5","single-peaked","2000","0.6572994277075919","0.631023493468184","0.5961999204692321","0.5765521758942815","0.6581443688586548","0.6566766750948169","0.6802142360075554","0.6855377079061292","0.3553072625698324","0.40589569160997735","0.2964509394572025","0.4469026548672566","0.2703349282296651","0.2842809364548495","0.42665173572228443","0.34891304347826085","0.3620689655172414"
"26","70","50","50","50","0.5","1","0.5","0.6","1","0.7","5","single-peaked","2000","0.6502375613922702","0.6572857142857146","0.6129056718228695","0.5777171516754854","0.6125667307281658","0.6393359788359795","0.64484126984127","0.6373319003527338","0.40689271817676487","0.44170403587443946","0.37367303609341823","0.4022222222222222","0.41203703703703703","0.3920265780730897","0.421875","0.40676117775354415","0.4070294784580499"
"27","70","50","50","50","0.5","1","0.5","0.6","1","0.7","20","single-peaked","2000","0.9669025419025415","0.9646949404761905","0.7527638845472542","0.7709450171821306","0.8874486624486626","0.8434027777777775","0.9030999270605394","0.872562592047128","0.10091743119266056","0.19767441860465115","0.01312910284463895","0.18503118503118504","0.01443298969072165","0.013800424628450107","0.19099890230515917","0.10259301014656144","0.09937888198757763"
"51","70","50","50","50","0.5","1","0.5","0.7","1","0.9","20","single-peaked","2000","0.9798338870431892","0.9891581632653061","0.8177354497354498","0.826631482552535","0.8889341085271321","0.9548628826530614","0.9172777777777776","0.9601431463273569","0.0938529088913282","0.1558139534883721","0.011111111111111112","0.21651785714285715","0.004048582995951417","0.007415254237288136","0.1867881548974943","0.08181818181818182","0.10509554140127389"
"36","70","50","50","50","0.5","1","0.5","0.6","1","1","20","single-peaked","2000","0.98592210591133","0.9856076759061835","0.8846080669710806","0.8883632923368023","0.9066374178981936","0.9045537618032287","0.9192895194607523","0.9095842531272994","0.08657534246575342","0.15732758620689655","0.0091324200913242","0.16170212765957448","0.011037527593818985","0.010101010101010102","0.15952890792291222","0.08536585365853659","0.08775731310942579"
"34","70","50","50","50","0.5","1","0.5","0.6","1","1","1","single-peaked","2000","0.5222950906026127","0.5320613896772838","0.5004553434276934","0.5283420944135232","0.5037373577749682","0.5122910753705454","0.49119760807548785","0.5178262213976498","0.498611882287618","0.5","0.4976958525345622","0.4878587196467991","0.5086580086580087","0.5033482142857143","0.49392265193370166","0.49887133182844245","0.49836065573770494"
