"BehaviorSpace results (NetLogo 6.1.1)"
"value_weight.nlogo"
"basic_compl_2"
"04/27/2021 07:27:28:906 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","density","fraction_blue","circle_blue","circle_orange","dominant_con","eth_con","val_con","dominant_lib","val_lib","eth_lib","determinism","utility_function","[step]","mean [count (turtles-on neighbors) with [color = [color] of myself] / count (turtles-on neighbors) ] of turtles with [ count (turtles-on neighbors) >= 1 and shape = ""square"" and color = blue]","mean [count (turtles-on neighbors) with [color = [color] of myself] / count (turtles-on neighbors) ] of turtles with [ count (turtles-on neighbors) >= 1 and shape = ""square"" and color = orange]","mean [count (turtles-on neighbors) with [color = [color] of myself] / count (turtles-on neighbors) ] of turtles with [ count (turtles-on neighbors) >= 1 and shape = ""circle"" and color = blue]","mean [count (turtles-on neighbors) with [color = [color] of myself] / count (turtles-on neighbors) ] of turtles with [ count (turtles-on neighbors) >= 1 and shape = ""circle"" and color = orange]","mean [count (turtles-on neighbors) with [ shape = [ shape] of myself] / count (turtles-on neighbors) ] of turtles with [ count (turtles-on neighbors) >= 1 and shape = ""square"" and color = blue]","mean [count (turtles-on neighbors) with [shape = [shape] of myself] / count (turtles-on neighbors) ] of turtles with [ count (turtles-on neighbors) >= 1 and shape = ""square"" and color = orange]","mean [count (turtles-on neighbors) with [shape = [shape] of myself] / count (turtles-on neighbors) ] of turtles with [ count (turtles-on neighbors) >= 1 and shape = ""circle"" and color = blue]","mean [count (turtles-on neighbors) with [shape = [shape] of myself] / count (turtles-on neighbors) ] of turtles with [ count (turtles-on neighbors) >= 1 and  shape = ""circle""  and color = orange]","count turtles with [movers? = TRUE] / count turtles","count turtles with [movers? = TRUE and color = blue and shape = ""square""] / count turtles with [color = blue and shape = ""square""]","count turtles with [movers? = TRUE and color = blue and shape = ""circle""] / count turtles with [color = blue and shape = ""circle""]","count turtles with [movers? = TRUE and color = orange and shape =  ""square""] / count turtles with [color = orange and shape =  ""square""]","count turtles with [movers? = TRUE and color = orange and shape = ""circle""] / count turtles with [color = orange and shape =  ""circle""]","count turtles with [movers? = TRUE and shape =  ""circle""] / count turtles with [shape =  ""circle""]","count turtles with [movers? = TRUE and shape =  ""square""] / count turtles with [shape =  ""square""]","count turtles with [movers? = TRUE and color = blue] / count turtles with [color = blue]","count turtles with [movers? = TRUE and color = orange] / count turtles with [color = orange]"
"25","70","50","50","50","0.5","1","0.5","0.6","1","0.7","2","single-peaked","2000","0.5319504014076765","0.5938761097659404","0.5112455960904646","0.549856150793651","0.549078961838777","0.5593649112187254","0.5644931242186616","0.5485565476190476","0.49002217294900224","0.49884526558891457","0.4988066825775656","0.5","0.46458333333333335","0.48053392658509453","0.4994475138121547","0.4988262910798122","0.48214285714285715"
"39","70","50","50","50","0.5","1","0.5","0.7","1","0.5","4","single-peaked","2000","0.6019656699889259","0.5801290357412808","0.5583675564681732","0.5312846068660025","0.5993383167220381","0.6065678652413343","0.6339860174049088","0.6467275747508315","0.41564245810055866","0.41299303944315546","0.4024640657084189","0.4321266968325792","0.41627906976744183","0.4089422028353326","0.422680412371134","0.4074074074074074","0.4243119266055046"
"44","70","50","50","50","0.5","1","0.5","0.7","1","0.7","3","single-peaked","2000","0.6109199134199137","0.5812951743197281","0.5678719928719931","0.5495912881281547","0.5832224025974027","0.5821189413265309","0.6059078309078311","0.6156051130129478","0.44315030504714364","0.475","0.4490644490644491","0.4575892857142857","0.38940092165898615","0.4207650273224044","0.46621621621621623","0.46145494028230183","0.42403628117913833"
"29","70","50","50","50","0.5","1","0.5","0.6","1","0.8","3","single-peaked","2000","0.6087573000898475","0.5765222043873733","0.5599399922570656","0.5741391941391948","0.5651645327942502","0.5406902086677366","0.5841027874564458","0.615484039769754","0.44548458149779735","0.44575471698113206","0.45528455284552843","0.4584269662921348","0.421978021978022","0.4392819429778247","0.4522439585730725","0.45087336244541487","0.44"
"33","70","50","50","50","0.5","1","0.5","0.6","1","0.9","4","single-peaked","2000","0.6250791891035792","0.6486064753004012","0.5943212917350852","0.6113945578231296","0.5856377362474927","0.6007982866043615","0.6146059113300496","0.6293926141885324","0.4005540166204986","0.3893805309734513","0.4160919540229885","0.4205607476635514","0.3795918367346939","0.39675675675675676","0.40454545454545454","0.4024802705749718","0.39869281045751637"
"24","70","50","50","50","0.5","1","0.5","0.6","1","0.6","4","single-peaked","2000","0.628259770889488","0.6254761904761905","0.5587563323201624","0.555549327354261","0.5840858041329747","0.5769312169312171","0.6176747720364745","0.6068839419175748","0.41899441340782123","0.46226415094339623","0.37872340425531914","0.43555555555555553","0.40358744394618834","0.39082969432314413","0.448512585812357","0.41834451901565994","0.41964285714285715"
"28","70","50","50","50","0.5","1","0.5","0.6","1","0.8","2","single-peaked","2000","0.5559002813379185","0.5458675726927943","0.5309738793937443","0.5347050865800863","0.5371079504011671","0.5277365149599663","0.5244652262710954","0.5237256493506497","0.47823660714285715","0.48358862144420134","0.48081264108352145","0.46017699115044247","0.48863636363636365","0.48471121177802945","0.47194719471947194","0.4822222222222222","0.4742152466367713"
"37","70","50","50","50","0.5","1","0.5","0.7","1","0.5","2","single-peaked","2000","0.5586371787208607","0.5199974670719351","0.4949927511988402","0.5172326307572214","0.5818290496114765","0.5680623100303951","0.5192650830824136","0.5582775733244122","0.46892341842397334","0.4665271966527197","0.4449648711943794","0.4808510638297872","0.48243559718969553","0.4637002341920375","0.47362869198312235","0.456353591160221","0.4816053511705686"
"26","70","50","50","50","0.5","1","0.5","0.6","1","0.7","3","single-peaked","2000","0.5836936792654283","0.5698246991104142","0.5766314877128588","0.5763515727391877","0.5776398676062351","0.5831318681318685","0.5837845416539214","0.5923902359108779","0.47117516629711753","0.46860986547085204","0.46466809421841543","0.45274725274725275","0.5","0.48172757475083056","0.46059933407325193","0.4665936473165389","0.47586980920314254"
"22","70","50","50","50","0.5","1","0.5","0.6","1","0.6","2","single-peaked","2000","0.5329831932773109","0.5550838744588742","0.5065031152647982","0.5195162907268175","0.5360410830999067","0.537288961038961","0.5529789719626169","0.5422205513784464","0.49667036625971145","0.48366013071895425","0.530373831775701","0.5","0.47578947368421054","0.5016611295681063","0.4916573971078977","0.5062006764374295","0.48743169398907105"
