"BehaviorSpace results (NetLogo 6.1.1)"
"value_weight_M.nlogo"
"M_fin"
"06/06/2021 03:45:21:972 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","density","fraction_blue","circle_blue","circle_orange","dominant_con","M_con","eth_con","val_con","dominant_lib","M_lib","val_lib","eth_lib","determinism","[step]","mean [count (turtles-on neighbors) with [color = [color] of myself] / count (turtles-on neighbors) ] of turtles with [ count (turtles-on neighbors) >= 1]","mean [count (turtles-on neighbors) with [shape = [shape] of myself] / count (turtles-on neighbors) ] of turtles with [ count (turtles-on neighbors) >= 1 ]","mean [count (turtles-on neighbors) with [color = [color] of myself] / count (turtles-on neighbors) ] of turtles with [ count (turtles-on neighbors) >= 1 and shape = ""square""]","mean [count (turtles-on neighbors) with [color = [color] of myself] / count (turtles-on neighbors) ] of turtles with [ count (turtles-on neighbors) >= 1 and shape = ""circle"" ]","mean [count (turtles-on neighbors) with [ shape = [ shape] of myself] / count (turtles-on neighbors) ] of turtles with [ count (turtles-on neighbors) >= 1 and shape = ""square""]","mean [count (turtles-on neighbors) with [shape = [shape] of myself] / count (turtles-on neighbors) ] of turtles with [ count (turtles-on neighbors) >= 1 and shape = ""circle""]","mean [count (turtles-on neighbors)] of turtles  / 8","mean [count (turtles-on neighbors)] of turtles with [shape = ""circle""] / 8","mean [count (turtles-on neighbors)] of turtles with [shape = ""square""] / 8","count turtles with [movers? = TRUE] / count turtles","count turtles with [movers? = TRUE and shape =  ""circle""] / count turtles with [shape =  ""circle""]","count turtles with [movers? = TRUE and shape =  ""square""] / count turtles with [shape =  ""square""]"
"32","70","50","50","50","0.5","0.1","1","0.5","0.5","0.5","1","0.5","10","2000","0.6753162097703445","0.6468700592223374","0.7583139864830003","0.585612523698004","0.6402969096631075","0.6539742946358866","0.7173607203151379","0.810304449648712","0.6313651137594799","0.24141812042768712","0.19789227166276346","0.28169014084507044"
"2","70","50","50","50","0.5","0.1","1","0.5","0.5","0.1","1","0.5","1","2000","0.5173048195612864","0.5063527006840162","0.5197311653993423","0.5150109615580709","0.4893908752629028","0.5223883450596516","0.6960649422124381","0.7057012847965739","0.6858720271800679","0.47771051183269125","0.49143468950749464","0.46319365798414497"
"48","70","50","50","50","0.5","0.1","1","0.5","0.5","1","1","0.5","5","2000","0.6571626984126973","0.5885429894179888","0.6889201456838449","0.6270549886621309","0.5672360839312899","0.6087430426716142","0.7011111111111111","0.7260551948051948","0.6748002283105022","0.36444444444444446","0.3593073593073593","0.3698630136986301"
"44","70","50","50","50","0.5","0.1","1","0.5","0.5","1","1","0.5","1","2000","0.5099947891614552","0.5164822831489495","0.5101519995512926","0.5098517327617004","0.48804756295922397","0.5423569642219158","0.6899551066217733","0.69989281886388","0.6790341578327445","0.5151515151515151","0.5155412647374062","0.5147232037691402"
"57","70","50","50","50","0.5","0.1","1","0.5","0.5","1","1","0.5","14","2000","0.8488737675687021","0.6835070537025382","0.9032560790273552","0.7905183191998256","0.6742933130699083","0.6933939443357254","0.75","0.8665810502283106","0.6413563829787234","0.15253303964757708","0.10616438356164383","0.19574468085106383"
"12","70","50","50","50","0.5","0.1","1","0.5","0.5","0.1","1","0.5","11","2000","0.6394639885904441","0.6659053693579479","0.7403966543513959","0.5324176870748302","0.6555790743021346","0.6768571428571422","0.7403154399557277","0.8431428571428572","0.6437768240343348","0.22136137244050913","0.16114285714285714","0.2778969957081545"
"30","70","50","50","50","0.5","0.1","1","0.5","0.5","0.5","1","0.5","8","2000","0.6401608105595827","0.6458396409316648","0.7049795764807051","0.5768428098913219","0.6232169730194576","0.6679385205019162","0.7188022284122563","0.7930892070484582","0.6427564825253664","0.2857938718662953","0.24559471365638766","0.3269447576099211"
"56","70","50","50","50","0.5","0.1","1","0.5","0.5","1","1","0.5","13","2000","0.8343169420507561","0.6811328958810972","0.8899290724041558","0.7787663295406648","0.6567130728260303","0.705525705857563","0.749584947426674","0.8574391592920354","0.6416112956810631","0.14277808522412838","0.09623893805309734","0.1893687707641196"
"20","70","50","50","50","0.5","0.1","1","0.5","0.5","0.1","1","0.5","19","2000","0.6571903720482168","0.680154390897966","0.7766394704433491","0.534161777918715","0.6647667795566508","0.696003118228423","0.7546397379912664","0.8632075471698113","0.6495703544575725","0.16102620087336245","0.12097669256381798","0.19978517722878625"
"22","70","50","50","50","0.5","0.1","1","0.5","0.5","0.5","1","0.5","0","2000","0.49446195466603654","0.5090799254064569","0.4979737988945578","0.49103053435114574","0.5047858205782307","0.5132756919561714","0.7009371554575524","0.6999727371864777","0.7019230769230769","0.4856670341786108","0.48091603053435117","0.49052396878483834"
"38","70","50","50","50","0.5","0.1","1","0.5","0.5","0.5","1","0.5","16","2000","0.7086485561609942","0.686559925241518","0.817655697650238","0.5968338399189455","0.6634084529008114","0.710307684103877","0.765728476821192","0.8868980963045913","0.6479869423286181","0.1390728476821192","0.0851063829787234","0.191512513601741"
"34","70","50","50","50","0.5","0.1","1","0.5","0.5","0.5","1","0.5","12","2000","0.6831037738289236","0.6825728770595697","0.7702001152496191","0.5981568056407112","0.6596993032636597","0.7048819742489271","0.742128121606949","0.8394581545064378","0.642445054945055","0.20412595005428882","0.16416309012875535","0.24505494505494504"
"17","70","50","50","50","0.5","0.1","1","0.5","0.5","0.1","1","0.5","16","2000","0.6531403258977992","0.6939586299636128","0.7651656889170759","0.5416101026045773","0.6746789281750439","0.7131531176006303","0.7469596462133775","0.8544198895027625","0.6393805309734514","0.19181868435599778","0.13922651933701657","0.24446902654867256"
"11","70","50","50","50","0.5","0.1","1","0.5","0.5","0.1","1","0.5","10","2000","0.6232178695232881","0.649873589282456","0.72234219269103","0.5263463718820863","0.6271093708801354","0.672120439084725","0.7231800766283525","0.8026244588744589","0.6418881506090809","0.2660098522167488","0.2305194805194805","0.3023255813953488"
"5","70","50","50","50","0.5","0.1","1","0.5","0.5","0.1","1","0.5","4","2000","0.5414184341859006","0.5651818205448119","0.5716062934504215","0.511558347551833","0.5558164758768497","0.5744454785171401","0.7134478996181124","0.7438925081433225","0.682702850877193","0.44789961811238405","0.44299674267100975","0.45285087719298245"
"27","70","50","50","50","0.5","0.1","1","0.5","0.5","0.5","1","0.5","5","2000","0.5967866340796801","0.6000886944181638","0.634267117187909","0.55905711121658","0.5895987217769401","0.6106483678742813","0.7044701986754967","0.7447397563676633","0.6644664466446645","0.35485651214128033","0.35105204872646734","0.3586358635863586"
"18","70","50","50","50","0.5","0.1","1","0.5","0.5","0.1","1","0.5","17","2000","0.653803938378406","0.690173538045878","0.7748732718894007","0.5291145915730637","0.6732718894009221","0.7075805516004844","0.755718954248366","0.8653100775193798","0.6496516613076099","0.19335511982570805","0.14174972314507198","0.2433011789924973"
"60","70","50","50","50","0.5","0.1","1","0.5","0.5","1","1","0.5","17","2000","0.870718726327613","0.698654102343075","0.9191243833685693","0.8185046424499098","0.6861887143863877","0.7121002334799366","0.7699781061850027","0.9002280501710376","0.6497368421052632","0.11056376573617953","0.06499429874572406","0.15263157894736842"
"52","70","50","50","50","0.5","0.1","1","0.5","0.5","1","1","0.5","9","2000","0.7985012226867547","0.6535451342325987","0.8288515406162462","0.7684510727367871","0.6366722160562343","0.6702511773940337","0.7168691330756488","0.7835164835164835","0.6495560488346281","0.2308117062396466","0.2230769230769231","0.2386237513873474"
